NTEE CODE LETTER,NTEE CODE DESCRIPTION,NTEE_CD,NTEE CODE TAXONOMY
A,"Arts, Culture and Humanities",A99,"Arts, Culture, and Humanities N.E.C.       "
B,Education,B01,Alliance/Advocacy Organizations          
B,Education,B02,Management & Technical Assistance        
B,Education,B03,"Professional Societies, Associations         "
B,Education,B05,Research Institutes and/or Public Policy Analysis      
B,Education,B11,Single Organization Support         
B,Education,B12,Fund Raising and/or Fund Distribution       
B,Education,B19,Nonmonetary Support N.E.C.         
B,Education,B20,"Elementary, Secondary Education, K - 12      "
B,Education,B21,"Kindergarten, Preschool, Nursery School, Early Admissions      "
B,Education,B24,"Primary, Elementary Schools         "
B,Education,B25,"Secondary, High School         "
B,Education,B28,Specialized Education Institutions         
B,Education,B30,"Vocational, Technical Schools         "
B,Education,B40,Higher Education Institutions         
B,Education,B41,Community or Junior Colleges        
B,Education,B42,Undergraduate College (4-year)         
B,Education,B43,University or Technological Institute        
B,Education,B50,"Graduate, Professional Schools (Separate Entities)       "
B,Education,B60,"Adult, Continuing Education         "
B,Education,B70,Libraries           
B,Education,B80,"Student Services, Organizations of Students       "
B,Education,B82,"Scholarships, Student Financial Aid Services, Awards      "
B,Education,B83,"Student Sororities, Fraternities         "
B,Education,B84,Alumni Associations          
B,Education,B90,Educational Services and Schools - Other      
B,Education,B92,"Remedial Reading, Reading Encouragement        "
B,Education,B94,Parent/Teacher Group          
B,Education,B99,Education N.E.C.          
C,"Environmental Quality, Protection and Beautification",C01,Alliance/Advocacy Organizations          
C,"Environmental Quality, Protection and Beautification",C02,Management & Technical Assistance        
C,"Environmental Quality, Protection and Beautification",C03,"Professional Societies, Associations         "
C,"Environmental Quality, Protection and Beautification",C05,Research Institutes and/or Public Policy Analysis      
C,"Environmental Quality, Protection and Beautification",C11,Single Organization Support         
C,"Environmental Quality, Protection and Beautification",C12,Fund Raising and/or Fund Distribution       
C,"Environmental Quality, Protection and Beautification",C19,Nonmonetary Support N.E.C.         
C,"Environmental Quality, Protection and Beautification",C20,Pollution Abatement and Control Services       
C,"Environmental Quality, Protection and Beautification",C27,Recycling Programs          
C,"Environmental Quality, Protection and Beautification",C30,Natural Resources Conservation and Protection       
C,"Environmental Quality, Protection and Beautification",C32,"Water Resource, Wetlands Conservation and Management      "
C,"Environmental Quality, Protection and Beautification",C34,Land Resources Conservation         
C,"Environmental Quality, Protection and Beautification",C35,Energy Resources Conservation and Development       
C,"Environmental Quality, Protection and Beautification",C36,Forest Conservation          
C,"Environmental Quality, Protection and Beautification",C40,"Botanical, Horticultural, and Landscape Services       "
C,"Environmental Quality, Protection and Beautification",C41,"Botanical Gardens, Arboreta and Botanical Organizations      "
C,"Environmental Quality, Protection and Beautification",C42,"Garden Club, Horticultural Program        "
C,"Environmental Quality, Protection and Beautification",C50,Environmental Beautification and Aesthetics        
C,"Environmental Quality, Protection and Beautification",C60,Environmental Education and Outdoor Survival Programs      
C,"Environmental Quality, Protection and Beautification",C99,"Environmental Quality, Protection, and Beautification N.E.C.      "
D,Animal-Related,D01,Alliance/Advocacy Organizations          
D,Animal-Related,D02,Management & Technical Assistance        
D,Animal-Related,D03,"Professional Societies, Associations         "
D,Animal-Related,D05,Research Institutes and/or Public Policy Analysis      
D,Animal-Related,D11,Single Organization Support         
D,Animal-Related,D12,Fund Raising and/or Fund Distribution       
D,Animal-Related,D19,Nonmonetary Support N.E.C.         
D,Animal-Related,D20,Animal Protection and Welfare        
D,Animal-Related,D30,"Wildlife Preservation, Protection         "
D,Animal-Related,D31,Protection of Endangered Species        
D,Animal-Related,D32,"Bird Sanctuary, Preserve         "
D,Animal-Related,D33,Fisheries Resources          
D,Animal-Related,D34,"Wildlife Sanctuary, Refuge         "
D,Animal-Related,D40,Veterinary Services          
D,Animal-Related,D50,"Zoo, Zoological Society         "
D,Animal-Related,D60,Other Services - Specialty Animals       
D,Animal-Related,D61,"Animal Training, Behavior         "
D,Animal-Related,D99,Animal-Related N.E.C.          
E,Health - General and Rehabilitative,E01,Alliance/Advocacy Organizations          
E,Health - General and Rehabilitative,E02,Management & Technical Assistance        
E,Health - General and Rehabilitative,E03,"Professional Societies, Associations         "
E,Health - General and Rehabilitative,E05,Research Institutes and/or Public Policy Analysis      
E,Health - General and Rehabilitative,E11,Single Organization Support         
E,Health - General and Rehabilitative,E12,Fund Raising and/or Fund Distribution       
E,Health - General and Rehabilitative,E19,Nonmonetary Support N.E.C.         
E,Health - General and Rehabilitative,E20,Hospitals and Related Primary Medical Care Facilities     
E,Health - General and Rehabilitative,E21,Community Health Systems         
E,Health - General and Rehabilitative,E22,"Hospital, General          "
E,Health - General and Rehabilitative,E24,"Hospital, Specialty          "
E,Health - General and Rehabilitative,E30,"Health Treatment Facilities, Primarily Outpatient       "
E,Health - General and Rehabilitative,E31,Group Health Practice (Health Maintenance Organizations)      
E,Health - General and Rehabilitative,E32,"Ambulatory Health Center, Community Clinic       "
E,Health - General and Rehabilitative,E40,Reproductive Health Care Facilities and Allied Services     
E,Health - General and Rehabilitative,E42,Family Planning Centers         
E,Health - General and Rehabilitative,E50,Rehabilitative Medical Services         
E,Health - General and Rehabilitative,E60,Health Support Services         
E,Health - General and Rehabilitative,E61,Blood Supply Related         
E,Health - General and Rehabilitative,E62,"Ambulance, Emergency Medical Transport Services       "
E,Health - General and Rehabilitative,E65,Organ and Tissue Banks        
E,Health - General and Rehabilitative,E70,Public Health Program (Includes General Health and Wellness Promotion Services)  
E,Health - General and Rehabilitative,E80,"Health, General and Financing        "
E,Health - General and Rehabilitative,E86,"Patient Services - Entertainment, Recreation       "
E,Health - General and Rehabilitative,E90,Nursing Services (General)         
E,Health - General and Rehabilitative,E91,"Nursing, Convalescent Facilities         "
E,Health - General and Rehabilitative,E92,Home Health Care         
E,Health - General and Rehabilitative,E99,Health - General and Rehabilitative N.E.C.      
F,"Mental Health, Crisis Intervention",F01,Alliance/Advocacy Organizations          
F,"Mental Health, Crisis Intervention",F02,Management & Technical Assistance        
F,"Mental Health, Crisis Intervention",F03,"Professional Societies, Associations         "
F,"Mental Health, Crisis Intervention",F05,Research Institutes and/or Public Policy Analysis      
F,"Mental Health, Crisis Intervention",F11,Single Organization Support         
F,"Mental Health, Crisis Intervention",F12,Fund Raising and/or Fund Distribution       
F,"Mental Health, Crisis Intervention",F19,Nonmonetary Support N.E.C.         
F,"Mental Health, Crisis Intervention",F20,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment   "
F,"Mental Health, Crisis Intervention",F21,"Alcohol, Drug Abuse, Prevention Only       "
F,"Mental Health, Crisis Intervention",F22,"Alcohol, Drug Abuse, Treatment Only       "
F,"Mental Health, Crisis Intervention",F30,Mental Health Treatment - Multipurpose and N.E.C.     
F,"Mental Health, Crisis Intervention",F31,"Psychiatric, Mental Health Hospital        "
F,"Mental Health, Crisis Intervention",F32,Community Mental Health Center        
F,"Mental Health, Crisis Intervention",F33,"Group Home, Residential Treatment Facility - Mental Health Related   "
F,"Mental Health, Crisis Intervention",F40,"Hot Line, Crisis Intervention Services       "
F,"Mental Health, Crisis Intervention",F42,Rape Victim Services         
F,"Mental Health, Crisis Intervention",F50,Addictive Disorders N.E.C.         
F,"Mental Health, Crisis Intervention",F52,Smoking Addiction          
F,"Mental Health, Crisis Intervention",F53,"Eating Disorder, Addiction         "
F,"Mental Health, Crisis Intervention",F54,Gambling Addiction          
F,"Mental Health, Crisis Intervention",F60,"Counseling, Support Groups         "
F,"Mental Health, Crisis Intervention",F70,Mental Health Disorders         
F,"Mental Health, Crisis Intervention",F80,"Mental Health Association, Multipurpose        "
F,"Mental Health, Crisis Intervention",F99,"Mental Health, Crisis Intervention N.E.C.       "
G,"Diseases, Disorders, Medical Disciplines",G01,Alliance/Advocacy Organizations          
G,"Diseases, Disorders, Medical Disciplines",G02,Management & Technical Assistance        
G,"Diseases, Disorders, Medical Disciplines",G03,"Professional Societies, Associations         "
G,"Diseases, Disorders, Medical Disciplines",G05,Research Institutes and/or Public Policy Analysis      
G,"Diseases, Disorders, Medical Disciplines",G11,Single Organization Support         
G,"Diseases, Disorders, Medical Disciplines",G12,Fund Raising and/or Fund Distribution       
G,"Diseases, Disorders, Medical Disciplines",G19,Nonmonetary Support N.E.C.         
G,"Diseases, Disorders, Medical Disciplines",G20,Birth Defects and Genetic Diseases       
G,"Diseases, Disorders, Medical Disciplines",G25,Down Syndrome          
G,"Diseases, Disorders, Medical Disciplines",G30,Cancer           
G,"Diseases, Disorders, Medical Disciplines",G40,Diseases of Specific Organs        
G,"Diseases, Disorders, Medical Disciplines",G41,"Eye Diseases, Blindness and Vision Impairments      "
G,"Diseases, Disorders, Medical Disciplines",G42,Ear and Throat Diseases        
G,"Diseases, Disorders, Medical Disciplines",G43,"Heart and Circulatory System Diseases, Disorders      "
G,"Diseases, Disorders, Medical Disciplines",G44,Kidney Disease          
G,"Diseases, Disorders, Medical Disciplines",G45,Lung Disease          
G,"Diseases, Disorders, Medical Disciplines",G48,Brain Disorders          
G,"Diseases, Disorders, Medical Disciplines",G50,"Nerve, Muscle and Bone Diseases       "
G,"Diseases, Disorders, Medical Disciplines",G51,Arthritis           
G,"Diseases, Disorders, Medical Disciplines",G54,Epilepsy           
G,"Diseases, Disorders, Medical Disciplines",G60,Allergy Related Diseases         
G,"Diseases, Disorders, Medical Disciplines",G61,Asthma           
G,"Diseases, Disorders, Medical Disciplines",G70,"Digestive Diseases, Disorders         "
G,"Diseases, Disorders, Medical Disciplines",G80,Specifically Named Diseases         
G,"Diseases, Disorders, Medical Disciplines",G81,AIDS           
G,"Diseases, Disorders, Medical Disciplines",G83,Alzheimer's Disease          
G,"Diseases, Disorders, Medical Disciplines",G84,Autism           
G,"Diseases, Disorders, Medical Disciplines",G90,Medical Disciplines          
G,"Diseases, Disorders, Medical Disciplines",G92,"Biomedicine, Bioengineering          "
G,"Diseases, Disorders, Medical Disciplines",G94,Geriatrics           
G,"Diseases, Disorders, Medical Disciplines",G96,"Neurology, Neuroscience          "
G,"Diseases, Disorders, Medical Disciplines",G98,Pediatrics           
G,"Diseases, Disorders, Medical Disciplines",G9B,Surgery           
G,"Diseases, Disorders, Medical Disciplines",G99,"Diseases, Disorders, Medical Disciplines N.E.C.       "
H,Medical Research,H01,Alliance/Advocacy Organizations          
H,Medical Research,H02,Management & Technical Assistance        
H,Medical Research,H03,"Professional Societies, Associations         "
H,Medical Research,H05,Research Institutes and/or Public Policy Analysis      
H,Medical Research,H11,Single Organization Support         
H,Medical Research,H12,Fund Raising and/or Fund Distribution       
H,Medical Research,H19,Nonmonetary Support N.E.C.         
H,Medical Research,H20,"Birth Defects, Genetic Diseases Research       "
H,Medical Research,H25,Down Syndrome Research         
H,Medical Research,H30,Cancer Research          
H,Medical Research,H40,Specific Organ Research         
H,Medical Research,H41,Eye Research          
H,Medical Research,H42,Ear and Throat Research        
H,Medical Research,H43,"Heart, Circulatory Research         "
H,Medical Research,H44,Kidney Research          
H,Medical Research,H45,Lung Research          
H,Medical Research,H48,Brain Disorders Research         
H,Medical Research,H50,"Nerve, Muscle, Bone Research        "
H,Medical Research,H51,Arthritis Research          
H,Medical Research,H54,Epilepsy Research          
H,Medical Research,H60,Allergy Related Disease Research        
H,Medical Research,H61,Asthma Research          
H,Medical Research,H70,"Digestive Disease, Disorder Research        "
H,Medical Research,H80,Specifically Named Diseases Research        
H,Medical Research,H81,AIDS Research          
H,Medical Research,H83,Alzheimer's Disease Research         
H,Medical Research,H84,Autism Research          
H,Medical Research,H90,Medical Specialty Research         
H,Medical Research,H92,"Biomedicine, Bioengineering Research         "
H,Medical Research,H94,Geriatrics Research          
H,Medical Research,H96,"Neurology, Neuroscience Research         "
H,Medical Research,H98,Pediatrics Research          
H,Medical Research,H9B,Surgery Research          
H,Medical Research,H99,Medical Research N.E.C.         
I,"Crime, Legal-Related",I01,Alliance/Advocacy Organizations          
I,"Crime, Legal-Related",I02,Management & Technical Assistance        
I,"Crime, Legal-Related",I03,"Professional Societies, Associations         "
I,"Crime, Legal-Related",I05,Research Institutes and/or Public Policy Analysis      
I,"Crime, Legal-Related",I11,Single Organization Support         
I,"Crime, Legal-Related",I12,Fund Raising and/or Fund Distribution       
I,"Crime, Legal-Related",I19,Nonmonetary Support N.E.C.         
I,"Crime, Legal-Related",I20,Crime Prevention N.E.C.         
I,"Crime, Legal-Related",I21,Delinquency Prevention          
I,"Crime, Legal-Related",I23,Drunk Driving Related         
I,"Crime, Legal-Related",I30,Correctional Facilities N.E.C.         
I,"Crime, Legal-Related",I31,"Transitional Care, Half-Way House for Offenders, Ex-Offenders     "
I,"Crime, Legal-Related",I40,Rehabilitation Services for Offenders        
I,"Crime, Legal-Related",I43,Services to Prisoners and Families - Multipurpose     
I,"Crime, Legal-Related",I44,Prison Alternatives          
I,"Crime, Legal-Related",I50,"Administration of Justice, Courts        "
I,"Crime, Legal-Related",I51,"Dispute Resolution, Mediation Services        "
I,"Crime, Legal-Related",I60,Law Enforcement Agencies (Police Departments)       
I,"Crime, Legal-Related",I70,"Protection Against, Prevention of Neglect, Abuse, Exploitation     "
I,"Crime, Legal-Related",I71,"Spouse Abuse, Prevention of        "
I,"Crime, Legal-Related",I72,"Child Abuse, Prevention of        "
I,"Crime, Legal-Related",I73,"Sexual Abuse, Prevention of        "
I,"Crime, Legal-Related",I80,Legal Services          
I,"Crime, Legal-Related",I83,"Public Interest Law, Litigation        "
I,"Crime, Legal-Related",I99,"Crime, Legal Related N.E.C.        "
J,"Employment, Job-Related",J01,Alliance/Advocacy Organizations          
J,"Employment, Job-Related",J02,Management & Technical Assistance        
J,"Employment, Job-Related",J03,"Professional Societies, Associations         "
J,"Employment, Job-Related",J05,Research Institutes and/or Public Policy Analysis      
J,"Employment, Job-Related",J11,Single Organization Support         
J,"Employment, Job-Related",J12,Fund Raising and/or Fund Distribution       
J,"Employment, Job-Related",J19,Nonmonetary Support N.E.C.         
J,"Employment, Job-Related",J20,"Employment Procurement Assistance, Job Training       "
J,"Employment, Job-Related",J21,"Vocational Counseling, Guidance and Testing       "
J,"Employment, Job-Related",J22,Vocational Training          
J,"Employment, Job-Related",J30,Vocational Rehabilitation          
J,"Employment, Job-Related",J32,Goodwill Industries          
J,"Employment, Job-Related",J33,"Sheltered Remunerative Employment, Work Activity Center N.E.C.     "
J,"Employment, Job-Related",J40,"Labor Unions, Organizations         "
J,"Employment, Job-Related",J99,"Employment, Job Related N.E.C.        "
K,"Food, Agriculture, and Nutrition",K01,Alliance/Advocacy Organizations          
K,"Food, Agriculture, and Nutrition",K02,Management & Technical Assistance        
K,"Food, Agriculture, and Nutrition",K03,"Professional Societies, Associations         "
K,"Food, Agriculture, and Nutrition",K05,Research Institutes and/or Public Policy Analysis      
K,"Food, Agriculture, and Nutrition",K11,Single Organization Support         
K,"Food, Agriculture, and Nutrition",K12,Fund Raising and/or Fund Distribution       
K,"Food, Agriculture, and Nutrition",K19,Nonmonetary Support N.E.C.         
K,"Food, Agriculture, and Nutrition",K20,Agricultural Programs          
K,"Food, Agriculture, and Nutrition",K25,Farmland Preservation          
K,"Food, Agriculture, and Nutrition",K26,"Livestock Breeding, Development, Management        "
K,"Food, Agriculture, and Nutrition",K28,"Farm Bureau, Grange         "
K,"Food, Agriculture, and Nutrition",K30,"Food Service, Free Food Distribution Programs      "
K,"Food, Agriculture, and Nutrition",K31,"Food Banks, Food Pantries        "
K,"Food, Agriculture, and Nutrition",K34,Congregate Meals          
K,"Food, Agriculture, and Nutrition",K35,"Eatery, Agency, Organization Sponsored        "
K,"Food, Agriculture, and Nutrition",K36,Meals on Wheels         
K,"Food, Agriculture, and Nutrition",K40,Nutrition Programs          
K,"Food, Agriculture, and Nutrition",K50,Home Economics          
K,"Food, Agriculture, and Nutrition",K99,"Food, Agriculture, and Nutrition N.E.C.       "
L,"Housing, Shelter",L01,Alliance/Advocacy Organizations          
L,"Housing, Shelter",L02,Management & Technical Assistance        
L,"Housing, Shelter",L03,"Professional Societies, Associations         "
L,"Housing, Shelter",L05,Research Institutes and/or Public Policy Analysis      
L,"Housing, Shelter",L11,Single Organization Support         
L,"Housing, Shelter",L12,Fund Raising and/or Fund Distribution       
L,"Housing, Shelter",L19,Nonmonetary Support N.E.C.         
L,"Housing, Shelter",L20,"Housing Development, Construction, Management        "
L,"Housing, Shelter",L21,Public Housing Facilities         
L,"Housing, Shelter",L22,Senior Citizens' Housing/Retirement Communities        
L,"Housing, Shelter",L25,Housing Rehabilitation          
L,"Housing, Shelter",L30,Housing Search Assistance         
L,"Housing, Shelter",L40,Low-Cost Temporary Housing         
L,"Housing, Shelter",L41,"Homeless, Temporary Shelter For        "
L,"Housing, Shelter",L50,"Housing Owners, Renters Organizations        "
L,"Housing, Shelter",L80,Housing Support Services -- Other       
L,"Housing, Shelter",L81,Home Improvement and Repairs        
L,"Housing, Shelter",L82,Housing Expense Reduction Support        
L,"Housing, Shelter",L99,"Housing, Shelter N.E.C.         "
M,"Public Safety, Disaster Preparedness and Relief",M01,Alliance/Advocacy Organizations          
M,"Public Safety, Disaster Preparedness and Relief",M02,Management & Technical Assistance        
M,"Public Safety, Disaster Preparedness and Relief",M03,"Professional Societies, Associations         "
M,"Public Safety, Disaster Preparedness and Relief",M05,Research Institutes and/or Public Policy Analysis      
M,"Public Safety, Disaster Preparedness and Relief",M11,Single Organization Support         
M,"Public Safety, Disaster Preparedness and Relief",M12,Fund Raising and/or Fund Distribution       
M,"Public Safety, Disaster Preparedness and Relief",M19,Nonmonetary Support N.E.C.         
M,"Public Safety, Disaster Preparedness and Relief",M20,Disaster Preparedness and Relief Services       
M,"Public Safety, Disaster Preparedness and Relief",M23,"Search and Rescue Squads, Services       "
M,"Public Safety, Disaster Preparedness and Relief",M24,"Fire Prevention, Protection, Control        "
M,"Public Safety, Disaster Preparedness and Relief",M40,Safety Education          
M,"Public Safety, Disaster Preparedness and Relief",M41,"First Aid Training, Services        "
M,"Public Safety, Disaster Preparedness and Relief",M42,Automotive Safety          
M,"Public Safety, Disaster Preparedness and Relief",M99,"Public Safety, Disaster Preparedness, and Relief N.E.C.     "
N,"Recreation, Sports and Leisure, Athletics",N01,Alliance/Advocacy Organizations          
N,"Recreation, Sports and Leisure, Athletics",N02,Management & Technical Assistance        
N,"Recreation, Sports and Leisure, Athletics",N03,"Professional Societies, Associations         "
N,"Recreation, Sports and Leisure, Athletics",N05,Research Institutes and/or Public Policy Analysis      
N,"Recreation, Sports and Leisure, Athletics",N11,Single Organization Support         
N,"Recreation, Sports and Leisure, Athletics",N12,Fund Raising and/or Fund Distribution       
N,"Recreation, Sports and Leisure, Athletics",N19,Nonmonetary Support N.E.C.         
N,"Recreation, Sports and Leisure, Athletics",N20,Recreational and Sporting Camps        
N,"Recreation, Sports and Leisure, Athletics",N30,Physical Fitness and Community Recreational Facilities      
N,"Recreation, Sports and Leisure, Athletics",N31,Community Recreational Centers         
N,"Recreation, Sports and Leisure, Athletics",N32,Parks and Playgrounds         
N,"Recreation, Sports and Leisure, Athletics",N40,"Sports Training Facilities, Agencies        "
N,"Recreation, Sports and Leisure, Athletics",N50,"Recreational, Pleasure, or Social Club       "
N,"Recreation, Sports and Leisure, Athletics",N52,"Fairs, County and Other        "
N,"Recreation, Sports and Leisure, Athletics",N60,"Amateur Sports Clubs, Leagues, N.E.C.       "
N,"Recreation, Sports and Leisure, Athletics",N61,"Fishing, Hunting Clubs         "
N,"Recreation, Sports and Leisure, Athletics",N62,Basketball           
N,"Recreation, Sports and Leisure, Athletics",N63,"Baseball, Softball          "
N,"Recreation, Sports and Leisure, Athletics",N64,"Soccer Clubs, Leagues         "
N,"Recreation, Sports and Leisure, Athletics",N65,"Football Clubs, Leagues         "
N,"Recreation, Sports and Leisure, Athletics",N66,"Tennis, Racquet Sports Clubs, Leagues       "
N,"Recreation, Sports and Leisure, Athletics",N67,"Swimming, Water Recreation         "
N,"Recreation, Sports and Leisure, Athletics",N68,Winter Sports (Snow and Ice)       
N,"Recreation, Sports and Leisure, Athletics",N69,"Equestrian, Riding          "
N,"Recreation, Sports and Leisure, Athletics",N6A,Golf           
N,"Recreation, Sports and Leisure, Athletics",N70,Amateur Sports Competitions         
N,"Recreation, Sports and Leisure, Athletics",N71,Olympics Committees and Related International Competitions      
N,"Recreation, Sports and Leisure, Athletics",N72,Special Olympics          
N,"Recreation, Sports and Leisure, Athletics",N80,Professional Athletic Leagues         
N,"Recreation, Sports and Leisure, Athletics",N99,"Recreation, Sports, Leisure, Athletics N.E.C.       "
O,Youth Development,O01,Alliance/Advocacy Organizations          
O,Youth Development,O02,Management & Technical Assistance        
O,Youth Development,O03,"Professional Societies, Associations         "
O,Youth Development,O05,Research Institutes and/or Public Policy Analysis      
O,Youth Development,O11,Single Organization Support         
O,Youth Development,O12,Fund Raising and/or Fund Distribution       
O,Youth Development,O19,Nonmonetary Support N.E.C.         
O,Youth Development,O20,"Youth Centers, Clubs, Multipurpose        "
O,Youth Development,O21,Boys Clubs          
O,Youth Development,O22,Girls Clubs          
O,Youth Development,O23,Boys and Girls Clubs (Combined)       
O,Youth Development,O30,"Adult, Child Matching Programs        "
O,Youth Development,O31,"Big Brothers, Big Sisters        "
O,Youth Development,O40,Scouting Organizations          
O,Youth Development,O41,Boy Scouts of America        
O,Youth Development,O42,Girl Scouts of the U.S.A.       
O,Youth Development,O43,Camp Fire          
O,Youth Development,O50,"Youth Development Programs, Other        "
O,Youth Development,O51,Youth Community Service Clubs        
O,Youth Development,O52,Youth Development - Agricultural        
O,Youth Development,O53,Youth Development - Business        
O,Youth Development,O54,Youth Development - Citizenship Programs       
O,Youth Development,O55,Youth Development - Religious Leadership       
O,Youth Development,O99,Youth Development N.E.C.         
P,Human Services - Multipurpose and Other,P01,Alliance/Advocacy Organizations          
P,Human Services - Multipurpose and Other,P02,Management & Technical Assistance        
P,Human Services - Multipurpose and Other,P03,"Professional Societies, Associations         "
P,Human Services - Multipurpose and Other,P05,Research Institutes and/or Public Policy Analysis      
P,Human Services - Multipurpose and Other,P11,Single Organization Support         
P,Human Services - Multipurpose and Other,P12,Fund Raising and/or Fund Distribution       
P,Human Services - Multipurpose and Other,P19,Nonmonetary Support N.E.C.         
P,Human Services - Multipurpose and Other,P20,Human Service Organizations - Multipurpose       
P,Human Services - Multipurpose and Other,P21,American Red Cross         
P,Human Services - Multipurpose and Other,P22,Urban League          
P,Human Services - Multipurpose and Other,P24,Salvation Army          
P,Human Services - Multipurpose and Other,P26,Volunteers of America         
P,Human Services - Multipurpose and Other,P27,"Young Men's or Women's Associations (YMCA, YWCA, YWHA, YMHA)   "
P,Human Services - Multipurpose and Other,P28,"Neighborhood Centers, Settlement Houses        "
P,Human Services - Multipurpose and Other,P29,Thrift Shops          
P,Human Services - Multipurpose and Other,P30,"Children's, Youth Services         "
P,Human Services - Multipurpose and Other,P31,Adoption           
P,Human Services - Multipurpose and Other,P32,Foster Care          
P,Human Services - Multipurpose and Other,P33,Child Day Care         
P,Human Services - Multipurpose and Other,P40,Family Services          
P,Human Services - Multipurpose and Other,P42,"Single Parent Agencies, Services        "
P,Human Services - Multipurpose and Other,P43,"Family Violence Shelters, Services        "
P,Human Services - Multipurpose and Other,P44,"Homemaker, Home Health Aide        "
P,Human Services - Multipurpose and Other,P45,"Family Services, Adolescent Parents        "
P,Human Services - Multipurpose and Other,P46,Family Counseling          
P,Human Services - Multipurpose and Other,P50,Personal Social Services         
P,Human Services - Multipurpose and Other,P51,"Financial Counseling, Money Management        "
P,Human Services - Multipurpose and Other,P52,"Transportation, Free or Subsidized        "
P,Human Services - Multipurpose and Other,P58,Gift Distribution          
P,Human Services - Multipurpose and Other,P60,"Emergency Assistance (Food, Clothing, Cash)       "
P,Human Services - Multipurpose and Other,P61,Travelers' Aid          
P,Human Services - Multipurpose and Other,P62,Victims' Services          
P,Human Services - Multipurpose and Other,P70,"Residential, Custodial Care         "
P,Human Services - Multipurpose and Other,P72,Half-Way House (Short-Term Residential Care)       
P,Human Services - Multipurpose and Other,P73,Group Home (Long Term)        
P,Human Services - Multipurpose and Other,P74,Hospice           
P,Human Services - Multipurpose and Other,P75,Senior Continuing Care Communities        
P,Human Services - Multipurpose and Other,P80,Services to Promote the Independence of Specific Populations    
P,Human Services - Multipurpose and Other,P81,"Senior Centers, Services         "
P,Human Services - Multipurpose and Other,P82,"Developmentally Disabled Centers, Services        "
P,Human Services - Multipurpose and Other,P84,"Ethnic, Immigrant Centers, Services        "
P,Human Services - Multipurpose and Other,P85,"Homeless Persons Centers, Services        "
P,Human Services - Multipurpose and Other,P86,"Blind/Visually Impaired Centers, Services        "
P,Human Services - Multipurpose and Other,P87,"Deaf/Hearing Impaired Centers, Services        "
P,Human Services - Multipurpose and Other,P99,Human Services - Multipurpose and Other N.E.C.     
Q,"International, Foreign Affairs and National Security",Q01,Alliance/Advocacy Organizations          
Q,"International, Foreign Affairs and National Security",Q02,Management & Technical Assistance        
Q,"International, Foreign Affairs and National Security",Q03,"Professional Societies, Associations         "
Q,"International, Foreign Affairs and National Security",Q05,Research Institutes and/or Public Policy Analysis      
Q,"International, Foreign Affairs and National Security",Q11,Single Organization Support         
Q,"International, Foreign Affairs and National Security",Q12,Fund Raising and/or Fund Distribution       
Q,"International, Foreign Affairs and National Security",Q19,Nonmonetary Support N.E.C.         
Q,"International, Foreign Affairs and National Security",Q20,Promotion of International Understanding        
